GA,Johnson,9300,110,86
GA,Jones,27740,281,240
GA,Lamar,17550,224,182
GA,Lanier,8423,114,76
GA,Laurens,48295,701,522
GA,Lee,34410,378,164
GA,Liberty,62186,1164,302
GA,Lincoln,7913,85,92
GA,Long,12234,145,58
GA,Lowndes,106814,1832,795
GA,Lumpkin,27528,325,222
GA,McDuffie,21862,337,262
GA,McIntosh,11378,137,124
GA,Macon,13336,181,154
GA,Madison,28232,344,261
GA,Marion,6995,105,82
GA,Meriwether,22783,297,274
GA,Miller,6228,89,77
GA,Mitchell,23800,332,260
GA,Monroe,25425,280,225
GA,Montgomery,8930,121,80
GA,Morgan,18761,240,153
GA,Murray,40621,562,285
GA,Muscogee,190414,3028,1819
GA,Newton,99944,1676,714
GA,Oconee,33320,421,211
GA,Oglethorpe,14328,160,117
GA,Paulding,136655,2145,713
GA,Peach,27247,474,245
GA,Pickens,31264,353,288
GA,Pierce,18580,297,185
GA,Pike,17721,238,142
GA,Polk,42298,726,468
GA,Pulaski,9897,128,106
GA,Putnam,20495,268,203
GA,Quitman,2659,38,12
GA,Rabun,16611,204,189
GA,Randolph,7180,99,89
GA,Richmond,199768,3188,1895
GA,Rockdale,84569,1290,593
GA,Schley,4325,64,35
GA,Screven,15054,200,190
GA,Seminole,9094,126,96
GA,Spalding,64708,973,644
GA,Stephens,25700,354,312
GA,Stewart,4558,52,45
GA,Sumter,32084,486,344
GA,Talbot,6355,60,68
GA,Taliaferro,1812,24,8
GA,Tattnall,24493,349,240
GA,Taylor,8587,116,84
GA,Telfair,12792,145,153
GA,Terrell,10320,141,142
GA,Thomas,46188,709,483
GA,Tift,42959,711,387
GA,Toombs,27959,478,300
GA,Towns,11010,106,147
GA,Treutlen,7058,92,80
GA,Troup,64653,1016,653
GA,Turner,9254,142,105
GA,Twiggs,10111,110,105
GA,Union,21252,198,297
GA,Upson,27551,327,362
GA,Walker,64983,789,650
GA,Walton,87311,1321,731
GA,Ware,35914,497,441
GA,Warren,5755,73,67
GA,Washington,20879,284,255
GA,Wayne,29407,431,299
GA,Webster,2192,22,7
GA,Wheeler,7010,84,46
GA,White,25294,311,257
GA,Whitfield,93698,1819,710
GA,Wilcox,8895,96,100
GA,Wilkes,10268,123,132
GA,Wilkinson,10076,159,108
